distance_face_1_speaking,distance_face_2_speaking,distance_face_3_speaking,distance_face_4_speaking,distance_face_5_speaking,distance_face_6_speaking,distance_face_7_speaking,distance_face_8_speaking,distance_face_9_speaking,distance_face_10_speaking,distance_face_11_speaking,distance_face_12_speaking,distance_face_13_speaking,distance_face_14_speaking,distance_face_15_speaking,distance_face_16_speaking
0.17310589396795947,0.10609889305475007,0.11313680039266014,0.18085149410855678,0.11705548092880537,0.2299600270038399,0.25613870892421253,0.16784153392533013,0.03326666943548513,0.03070248705722524,0.02585710800880679,0.04926909649843694,0.13332650180108221,0.007886254942738919,0.1861630775789555,0.09897533056850023
0.17419273007646466,0.10667629440129493,0.11318949798012647,0.18212790983109253,0.11902384734056894,0.22928453061569334,0.2554749787119541,0.16891793299503743,0.03350237475686959,0.030788735556991954,0.025955195539328596,0.049231362731732196,0.13351668128919383,0.007421663757397126,0.18642984136141671,0.09980338596738121
0.17538356055279258,0.10669243100512313,0.11433644118809756,0.18362919697459323,0.11796861608123486,0.23028026505085028,0.2563990938391809,0.1703369369551579,0.03440648644100261,0.03163702709984798,0.026528187617938626,0.04895764919612608,0.13487486385948064,0.007867918552105361,0.18848093855600434,0.09997805301477657
0.17408305015199854,0.10655008241384248,0.11352323452359941,0.18293153176272,0.11880340053375861,0.23005236896811276,0.2561213148047303,0.16927671537422018,0.03391895925054229,0.03145619950534325,0.026044616222813573,0.04909735710810204,0.13331513204817855,0.007440456121708691,0.18735587027027048,0.09973173337068339
0.17678182673412038,0.10792645101130047,0.11541463187862216,0.1843728252808579,0.1181650855931814,0.23362421922050713,0.2599317680567746,0.17184573119796084,0.034680548104686064,0.03167441299267596,0.026712329362937475,0.04987857486870397,0.13649504884699631,0.008214145393481113,0.1900029245620638,0.1004278075142207
0.1763126223142159,0.1068499594811455,0.11594324751419899,0.18578756493491913,0.11993331694065724,0.22990527097118701,0.25657048165468566,0.1711122400843608,0.034068953669893216,0.03159331539088692,0.02696480802778421,0.050471448714575796,0.13599248595582178,0.008185035386875686,0.1910567427910456,0.09950445508941057
0.17410450570935926,0.10702630212902955,0.11687148709003463,0.1871202455958419,0.12149008474028479,0.22966884053358907,0.25554876174791036,0.17089249638586707,0.03485626035451723,0.0322072231767722,0.030238045188408502,0.04995692064299163,0.13737320002326656,0.009371030247141152,0.19293195341687489,0.09971396541349267
0.17620825504762674,0.10729598998995707,0.11747754222678354,0.18796208990912489,0.12274903411941897,0.23058246199866506,0.2564915446004623,0.17201727226977934,0.034086569378987984,0.031778317407485254,0.028831700200979877,0.05011606400395698,0.13716524815035516,0.008712158283905522,0.19334024331041164,0.10008547202516753
0.17540807213387877,0.10675330646861869,0.11565681523358583,0.1859020397165942,0.12182092805093625,0.22885077185372396,0.2547162959383082,0.17043569330705072,0.03387321323169889,0.03130171826623589,0.027320994058286776,0.04964199115613708,0.13573902358363454,0.00799504010910195,0.19067602685397111,0.09988376061465845
0.17342190199764881,0.10688455496509727,0.11410425623445256,0.18597807757409685,0.12027699873088799,0.22944852787397196,0.25738061191995126,0.16946585731966238,0.034004937788350065,0.03150106813532195,0.027566574158123525,0.05110374885311897,0.13394984462635975,0.008408085874900483,0.19122177521161066,0.09998014452760598
